Ticker,Name,GICS Sector,GICS Subsector,Headquarters
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota"
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin"
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois"
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois"
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland"
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California"
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California"
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia"
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia"
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California"
APD,Air Products and Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania"
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California"
AKAM,Akamai,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts"
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina"
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California"
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona"
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland"
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin"
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois"
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California"
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California"
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia"
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington"
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom"
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri"
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas"
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio"
AXP,American Express,Financials,Consumer Finance,"New York City, New York"
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York"
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts"
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey"
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota"
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania"
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California"
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut"
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts"
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania"
AON,Aon,Financials,Insurance Brokers,"London, UK"
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California"
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California"
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland"
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda"
ADM,Archer-Daniels-Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois"
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California"
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois"
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia"
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas"
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas"
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California"
ADP,Automated Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey"
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee"
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia"
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio"
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona"
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado"
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina"
BK,Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York City, New York"
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio"
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois"
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey"
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska"
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota"
BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,"Hercules, California"
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota"
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts"
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York"
BX,Blackstone,Financials,Asset Management & Custody Banks,"New York City, New York"
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia"
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut"
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan"
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts"
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York"
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"Palo Alto, California"
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York"
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida"
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky"
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas"
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri"
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California"
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada"
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas"
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey"
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia"
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio"
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia"
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida"
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey"
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas"
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois"
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas"
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois"
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas"
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania"
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri"
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas"
CDAY,Ceridian,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota"
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois"
CHRW,CH Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota"
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts"
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas"
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut"
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California"
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California"
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland"
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey"
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut"
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio"
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio"
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California"
C,Citigroup,Financials,Diversified Banks,"New York City, New York"
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island"
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California"
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois"
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan"
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia"
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey"
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York"
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania"
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas"
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York"
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York"
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland"
COO,CooperCompanies,Health Care,Health Care Supplies,"San Ramon, California"
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas"
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York"
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana"
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C."
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington"
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas"
CSX,CSX,Industrials,Rail Transportation,"Jacksonville, Florida"
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana"
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island"
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C."
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida"
DVA,DaVita Inc.,Health Care,Health Care Services,"Denver, Colorado"
DE,John Deere,Industrials,Agricultural & Farm Machinery,"Moline, Illinois"
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia"
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina"
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California"
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas"
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas"
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois"
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee"
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia"
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia"
DPZ,"Domino's",Consumer Discretionary,Restaurants,"Ann Arbor, Michigan"
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois"
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan"
DHI,DR Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas"
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan"
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina"
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware"
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee"
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland"
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California"
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota"
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California"
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California"
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California"
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana"
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,"Indianapolis, Indiana"
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri"
ENPH,Enphase,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana"
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania"
EQT,EQT,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia"
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California"
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois"
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California"
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York"
ETSY,Etsy,Consumer Discretionary,Broadline Retail,"New York City, New York"
EG,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda"
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri"
ES,Eversource,Utilities,Electric Utilities,"Hartford, Connecticut"
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois"
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington"
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington"
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah"
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas"
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington"
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut"
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana"
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota"
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland"
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee"
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida"
FITB,Fifth Third Bank,Financials,Diversified Banks,"Cincinnati, Ohio"
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona"
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio"
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin"
FLT,Fleetcor,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia"
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania"
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan"
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California"
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington"
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York"
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York"
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California"
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona"
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland"
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut"
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois"
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona"
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin"
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia"
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts"
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota"
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan"
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia"
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California"
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia"
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas"
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York"
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut"
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island"
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee"
PEAK,Healthpeak,Real Estate,Health Care REITs,"Long Beach, California"
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York"
HSY,"Hershey's",Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania"
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York City, New York"
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas"
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia"
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia"
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina"
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota"
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland"
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania"
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut"
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan"
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia"
IBM,IBM,Information Technology,IT Consulting & Other Services,"Armonk, New York"
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois"
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine"
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,"Glenview, Illinois"
ILMN,Illumina,Health Care,Life Sciences Tools & Services,"San Diego, California"
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware"
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina"
PODD,Insulet,Health Care,Health Care Equipment,"Acton, Massachusetts"
INTC,Intel,Information Technology,Semiconductors,"Santa Clara, California"
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia"
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York City, New York"
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee"
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,"New York City, New York"
INTU,Intuit,Information Technology,Application Software,"Mountain View, California"
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,"Sunnyvale, California"
IVZ,Invesco,Financials,Asset Management & Custody Banks,"Atlanta, Georgia"
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,"Dallas, Texas"
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina"
IRM,Iron Mountain,Real Estate,Other Specialized REITs,"Boston, Massachusetts"
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas"
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida"
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri"
J,Jacobs Solutions,Industrials,Construction & Engineering,"Dallas, Texas"
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey"
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland"
JPM,JPMorgan Chase,Financials,Diversified Banks,"New York City, New York"
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California"
K,Kellanova,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey"
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Burlington, Massachusetts"
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio"
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California"
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas"
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York"
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas"
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,"Milpitas, California"
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania"
KR,Kroger,Consumer Staples,Food Retail,"Cincinnati, Ohio"
LHX,L3Harris,Industrials,Aerospace & Defense,"Melbourne, Florida"
LH,LabCorp,Health Care,Health Care Services,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California"
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho"
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia"
